@id,sample.samplingPoint,sample.samplingPoint.notation,sample.samplingPoint.label,sample.sampleDateTime,determinand.label,determinand.definition,determinand.notation,resultQualifier.notation,result,codedResultInterpretation.interpretation,determinand.unit.label,sample.sampledMaterialType.label,sample.isComplianceSample,sample.purpose.label,sample.samplingPoint.easting,sample.samplingPoint.northing
http://environment.data.gov.uk/water-quality/data/measurement/AN-2028556-7668,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-04959,AN-04959,DUNCOTE HALL DUNCOTE TOWCESTER,2023-01-19T11:25:00,NO FLOW/SAMP,No flow /No sample,7668,"",0,"",coded,FINAL SEWAGE EFFLUENT,true,COMPLIANCE AUDIT (PERMIT),467550,250870
http://environment.data.gov.uk/water-quality/data/measurement/AN-2028530-0111,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-04M02,AN-04M02,R.TOVE ABTHORPE RD.BR.,2023-01-19T10:16:00,Ammonia(N),Ammoniacal Nitrogen as N,0111,"",0.053,"",mg/l,RIVER / RUNNING SURFACE WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),465221,246994
http://environment.data.gov.uk/water-quality/data/measurement/AN-2028530-0118,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-04M02,AN-04M02,R.TOVE ABTHORPE RD.BR.,2023-01-19T10:16:00,Nitrite-N,Nitrite as N,0118,"",0.024,"",mg/l,RIVER / RUNNING SURFACE WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),465221,246994
http://environment.data.gov.uk/water-quality/data/measurement/AN-2028530-0076,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-04M02,AN-04M02,R.TOVE ABTHORPE RD.BR.,2023-01-19T10:16:00,Temp Water,Temperature of Water,0076,"",3.5,"",cel,RIVER / RUNNING SURFACE WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),465221,246994
http://environment.data.gov.uk/water-quality/data/measurement/AN-2028530-0180,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-04M02,AN-04M02,R.TOVE ABTHORPE RD.BR.,2023-01-19T10:16:00,Orthophospht,"Orthophosphate, reactive as P",0180,"",0.079,"",mg/l,RIVER / RUNNING SURFACE WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),465221,246994
http://environment.data.gov.uk/water-quality/data/measurement/AN-2028530-9901,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-04M02,AN-04M02,R.TOVE ABTHORPE RD.BR.,2023-01-19T10:16:00,O Diss %sat,"Oxygen, Dissolved, % Saturation",9901,"",90.2,"",%,RIVER / RUNNING SURFACE WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),465221,246994
http://environment.data.gov.uk/water-quality/data/measurement/AN-2028530-0077,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-04M02,AN-04M02,R.TOVE ABTHORPE RD.BR.,2023-01-19T10:16:00,Cond @ 25C,Conductivity at 25 C,0077,"",467,"",us/cm,RIVER / RUNNING SURFACE WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),465221,246994
http://environment.data.gov.uk/water-quality/data/measurement/AN-2028530-0162,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-04M02,AN-04M02,R.TOVE ABTHORPE RD.BR.,2023-01-19T10:16:00,Alky pH 4.5,Alkalinity to pH 4.5 as CaCO3,0162,"",210,"",mg/l,RIVER / RUNNING SURFACE WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),465221,246994
http://environment.data.gov.uk/water-quality/data/measurement/AN-2028530-0061,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-04M02,AN-04M02,R.TOVE ABTHORPE RD.BR.,2023-01-19T10:16:00,pH,pH,0061,"",8.3,"",phunits,RIVER / RUNNING SURFACE WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),465221,246994
http://environment.data.gov.uk/water-quality/data/measurement/AN-2028530-0119,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-04M02,AN-04M02,R.TOVE ABTHORPE RD.BR.,2023-01-19T10:16:00,NH3 un-ion,Ammonia un-ionised as N,0119,"",0.0006,"",mg/l,RIVER / RUNNING SURFACE WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),465221,246994
